12;-1;10;877
21;35;10;817
31;33;10;885
39;32;10;810
46;31;10;832
54;30;10;795
61;29;10;825
68;28;10;795
76;27;10;795
83;26;10;817
102;-1;10;877
110;25;10;900
117;25;10;847
125;25;10;840
132;25;10;877
142;25;10;832
149;25;10;840
157;25;10;847
164;25;10;945
174;25;10;862
181;25;10;847
189;25;10;862
196;25;10;847
204;25;10;855
214;25;10;952
221;25;10;922
231;24;10;855
238;25;10;892
246;25;10;915
253;25;10;855
272;-1;10;832
291;-1;10;907
310;-1;10;870
325;25;10;825
333;25;10;885
340;25;10;855
347;25;10;817
355;25;10;840
362;25;10;817
370;25;10;847
377;25;10;840
385;26;10;847
392;26;10;832
404;25;10;870
412;25;10;840
419;25;10;885
427;25;10;840
434;24;10;810
441;24;10;885
449;24;10;832
456;24;10;885
464;24;10;862
479;24;10;832
486;24;10;847
493;24;10;855
501;24;20;862
508;24;20;870
516;24;20;877
523;24;20;930
533;23;20;915
540;23;20;862
548;23;20;870
555;23;20;907
563;23;20;870
570;23;20;870
577;23;20;870
585;23;20;900
592;23;20;870
600;23;20;892
619;-1;20;862
626;23;20;937
634;23;20;885
641;23;20;945
649;23;20;877
661;23;20;945
668;23;20;907
676;23;20;862
683;23;20;847
691;23;20;847
698;23;20;900
706;23;20;847
713;23;20;900
720;23;20;900
728;23;20;855
735;23;20;877
743;23;20;870
750;23;20;855
758;23;20;885
765;23;20;817
772;23;20;900
780;23;20;892
795;24;20;832
809;24;20;892
817;24;20;907
827;23;20;892
834;23;20;847
841;23;20;885
849;23;20;937
856;23;20;900
864;23;20;862
871;24;20;915
879;24;20;930
886;25;20;832
893;25;20;900
913;-1;20;885
920;24;20;937
927;24;20;817
942;24;20;922
952;24;20;855
960;24;20;862
